"parent_PID","stim1_name","stim1_file","stim1_pair","stim1_deact_file","stim1_step2_name","stim1_step2_file","stim1_step2_basket_name","stim1_step2_basket_file","stim2_name","stim2_file","stim2_pair","stim2_deact_file","stim2_step2_name","stim2_step2_file","stim2_step2_basket_name","stim2_step2_basket_file","stim3_name","stim3_file","stim3_pair","stim3_deact_file","stim3_step2_name","stim3_step2_file","stim3_step2_basket_name","stim3_step2_basket_file","stim4_name","stim4_file","stim4_pair","stim4_deact_file","stim4_step2_name","stim4_step2_file","stim4_step2_basket_name","stim4_step2_basket_file","stim5_name","stim5_file","stim5_pair","stim5_deact_file","stim5_step2_name","stim5_step2_file","stim5_step2_basket_name","stim5_step2_basket_file","stim6_name","stim6_file","stim6_pair","stim6_deact_file","stim6_step2_name","stim6_step2_file","stim6_step2_basket_name","stim6_step2_basket_file","stim7_name","stim7_file","stim7_pair","stim7_deact_file","stim7_step2_name","stim7_step2_file","stim7_step2_basket_name","stim7_step2_basket_file","stim8_name","stim8_file","stim8_pair","stim8_deact_file","stim8_step2_name","stim8_step2_file","stim8_step2_basket_name","stim8_step2_basket_file","participant","session","date","expName","psychopyVersion","OS","frameRate","PROLIFIC_PID","STUDY_ID","SESSION_ID","consent_keyresp.keys","consent_keyresp.rt","consent_keyresp.duration","global_instructions1_key.keys","global_instructions1_key.rt","global_instructions1_key.duration","global_instructions2_key.keys","global_instructions2_key.rt","global_instructions2_key.duration","global_instructions3_key.keys","global_instructions3_key.rt","global_instructions3_key.duration","global_instructions4_key.keys","global_instructions4_key.rt","global_instructions4_key.duration","global_instructions5_key.keys","global_instructions5_key.rt","global_instructions5_key.duration","p_fixation_2.started","p_fixation_2.stopped","p_step1_keyresp.keys","p_step1_keyresp.rt","p_step1_keyresp.duration","p_step2_keyresp.keys","p_step2_keyresp.rt","p_step2_keyresp.duration","p_step1_pair_index","p_step1_stimLeft_name","p_step1_stimLeft_pair","p_step1_stimLeft_reward","p_step1_stimLeft_step2Stim","p_step1_stimLeft_step2Basket","p_step1_stimRight_name","p_step1_stimRight_pair","p_step1_stimRight_reward","p_step1_stimRight_step2Stim","p_step1_stimRight_step2Basket","p_points","p_fail_step1","p_fail_step2","p_reward_flag","p_step1_choice","p_step2_stim","p_step2_basket","p_score","practice.thisRepN","practice.thisTrialN","practice.thisN","practice.thisIndex","practice.ran","pair_index","p_failStep1_keyresp.keys","p_failStep1_keyresp.rt","p_failStep1_keyresp.duration","p_failStep2_keyresp.keys","p_failStep2_keyresp.rt","p_failStep2_keyresp.duration","t_instructions_keyresp.keys","t_instructions_keyresp.rt","t_instructions_keyresp.duration","t_advice_reading.started","t_advice_reading.stopped","t_advice_mouse.x","t_advice_mouse.y","t_advice_mouse.leftButton","t_advice_mouse.midButton","t_advice_mouse.rightButton","t_advice_mouse.time","t_advice_mouse.clicked_name","t_instructions_2_keyresp.keys","t_instructions_2_keyresp.rt","t_instructions_2_keyresp.duration","t_step1_keyresp.keys","t_step1_keyresp.rt","t_step1_keyresp.duration","t_step2_keyresp.keys","t_step2_keyresp.rt","t_step2_keyresp.duration","t_step1_pair_index","t_step1_stimLeft_name","t_step1_stimLeft_pair","t_step1_stimLeft_reward","t_step1_stimLeft_step2Stim","t_step1_stimLeft_step2Basket","t_step1_stimRight_name","t_step1_stimRight_pair","t_step1_stimRight_reward","t_step1_stimRight_step2Stim","t_step1_stimRight_step2Basket","t_points","t_fail_step1","t_fail_step2","t_reward_flag","t_step1_choice","t_step2_stim","t_step2_basket","globa_score","t_data_stimWalk0","t_data_stimWalk1","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","break_key_resp.keys","break_key_resp.rt","break_key_resp.duration","pl_global_instructions_keyresp.keys","pl_global_instructions_keyresp.rt","pl_global_instructions_keyresp.duration","vb_instructions_keyresp.keys","vb_instructions_keyresp.rt","vb_instructions_keyresp.duration","vb_instructions_2_keyresp.keys","vb_instructions_2_keyresp.rt","vb_instructions_2_keyresp.duration","vb_textbox.text","vb_mouse.x","vb_mouse.y","vb_mouse.leftButton","vb_mouse.midButton","vb_mouse.rightButton","vb_mouse.time","vb_mouse.clicked_name","pl1_instructions1_keyresp.keys","pl1_instructions1_keyresp.rt","pl1_instructions1_keyresp.duration","pl1_instructions2_keyresp.keys","pl1_instructions2_keyresp.rt","pl1_instructions2_keyresp.duration","pl1_instructions3_keyresp.keys","pl1_instructions3_keyresp.rt","pl1_instructions3_keyresp.duration","pl1_instructions4_keyresp.keys","pl1_instructions4_keyresp.rt","pl1_instructions4_keyresp.duration","pl1_task_lickert.response","pl1_task_lickert.rt","pl1_task_confidence_lickert.response","pl1_task_confidence_lickert.rt","pl1_task_keyresp.keys","pl1_task_keyresp.rt","pl1_task_keyresp.duration","pl1_task_stimLeft","pl1_task_stimRight","pl1_loop.thisRepN","pl1_loop.thisTrialN","pl1_loop.thisN","pl1_loop.thisIndex","pl1_loop.ran","stimLeft_index","stimRight_index","pl2_instructions_keyresp.keys","pl2_instructions_keyresp.rt","pl2_instructions_keyresp.duration","pl2_task_lickert.response","pl2_task_lickert.rt","pl2_task_confidence_lickert.response","pl2_task_confidence_lickert.rt","pl2_task_keyresp.keys","pl2_task_keyresp.rt","pl2_task_keyresp.duration","pl2_task_gnome","pl2_task_forest","pl2_task_basket","pl2_loop.thisRepN","pl2_loop.thisTrialN","pl2_loop.thisN","pl2_loop.thisIndex","pl2_loop.ran","gnome_id","forest_id","end_keyresp.keys","end_keyresp.rt","end_keyresp.duration","show_trials.thisRepN","show_trials.thisTrialN","show_trials.thisN","show_trials.thisIndex","show_trials.ran"
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,4,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.5829,,"space",0.435,,4,"brown_gnome",4,7,"bright_forest","yellow_basket","blue_gnome",4,2,"dark_forest","red_basket",2,0,0,1,"blue_gnome","dark_forest","red_basket",756,0,2,40,0,160,3,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,1,"",,,"",,,"",,,,,,,,,,,"","",,,"s",0.8369,,"space",0.2673,,1,"orange_gnome",1,7,"bright_forest","yellow_basket","pink_gnome",1,4,"dark_forest","red_basket",7,0,0,1,"orange_gnome","bright_forest","yellow_basket",763,1,-3,40,1,161,0,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,4,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.8715,,"space",0.2722,,4,"blue_gnome",4,1,"dark_forest","red_basket","brown_gnome",4,8,"bright_forest","yellow_basket",8,0,0,1,"brown_gnome","bright_forest","yellow_basket",771,-1,0,40,2,162,3,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,2,"",,,"",,,"",,,,,,,,,,,"","",,,"s",1.1716,,"space",0.3006,,2,"red_gnome",2,7,"bright_forest","yellow_basket","green_gnome",2,1,"dark_forest","red_basket",7,0,0,1,"red_gnome","bright_forest","yellow_basket",778,-4,1,40,3,163,1,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,3,"",,,"",,,"",,,,,,,,,,,"","",,,"s",0.7755,,"space",0.2888,,3,"purple_gnome",3,3,"bright_forest","yellow_basket","yellow_gnome",3,2,"dark_forest","red_basket",3,0,0,1,"purple_gnome","bright_forest","yellow_basket",781,-1,0,41,0,164,2,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,3,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.6884,,"space",0.3454,,3,"purple_gnome",3,2,"bright_forest","yellow_basket","yellow_gnome",3,2,"dark_forest","red_basket",2,0,0,1,"yellow_gnome","dark_forest","red_basket",783,1,0,41,1,165,2,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,3,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.5209,,"space",0.271,,3,"purple_gnome",3,3,"bright_forest","yellow_basket","yellow_gnome",3,2,"dark_forest","red_basket",2,0,0,1,"yellow_gnome","dark_forest","red_basket",785,0,2,41,2,166,2,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,1,"",,,"",,,"",,,,,,,,,,,"","",,,"s",1.1874,,"space",0.3004,,1,"orange_gnome",1,3,"bright_forest","yellow_basket","pink_gnome",1,4,"dark_forest","red_basket",3,0,0,1,"orange_gnome","bright_forest","yellow_basket",788,2,1,41,3,167,0,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,2,"",,,"",,,"",,,,,,,,,,,"","",,,"k",1.0745,,"space",0.4946,,2,"green_gnome",2,5,"dark_forest","red_basket","red_gnome",2,5,"bright_forest","yellow_basket",5,0,0,1,"red_gnome","bright_forest","yellow_basket",793,2,0,42,0,168,1,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,4,"",,,"",,,"",,,,,,,,,,,"","",,,"s",0.8213,,"space",0.2662,,4,"blue_gnome",4,5,"dark_forest","red_basket","brown_gnome",4,7,"bright_forest","yellow_basket",5,0,0,1,"blue_gnome","dark_forest","red_basket",798,3,1,42,1,169,3,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,4,"",,,"",,,"",,,,,,,,,,,"","",,,"s",0.6198,,"space",1.2224,,4,"blue_gnome",4,6,"dark_forest","red_basket","brown_gnome",4,8,"bright_forest","yellow_basket",6,0,0,1,"blue_gnome","dark_forest","red_basket",804,3,-6,42,2,170,3,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,3,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.6216,,"space",0.5954,,3,"yellow_gnome",3,0,"dark_forest","red_basket","purple_gnome",3,7,"bright_forest","yellow_basket",7,0,0,1,"purple_gnome","bright_forest","yellow_basket",811,1,0,42,3,171,2,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,1,"",,,"",,,"",,,,,,,,,,,"","",,,"s",0.9872,,"space",0.2374,,1,"orange_gnome",1,8,"bright_forest","yellow_basket","pink_gnome",1,0,"dark_forest","red_basket",8,0,0,1,"orange_gnome","bright_forest","yellow_basket",819,3,1,43,0,172,0,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,2,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.788,,"space",0.2693,,2,"red_gnome",2,7,"bright_forest","yellow_basket","green_gnome",2,1,"dark_forest","red_basket",1,0,0,1,"green_gnome","dark_forest","red_basket",820,-1,2,43,1,173,1,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,3,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.6846,,"space",0.3075,,3,"yellow_gnome",3,3,"dark_forest","red_basket","purple_gnome",3,6,"bright_forest","yellow_basket",6,0,0,1,"purple_gnome","bright_forest","yellow_basket",826,0,3,43,2,174,2,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,1,"",,,"",,,"",,,,,,,,,,,"","",,,"s",0.8881,,"space",0.2913,,1,"orange_gnome",1,6,"bright_forest","yellow_basket","pink_gnome",1,6,"dark_forest","red_basket",6,0,0,1,"orange_gnome","bright_forest","yellow_basket",832,-1,2,43,3,175,0,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,1,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.8914,,"space",0.4441,,1,"pink_gnome",1,8,"dark_forest","red_basket","orange_gnome",1,5,"bright_forest","yellow_basket",5,0,0,1,"orange_gnome","bright_forest","yellow_basket",837,-2,0,44,0,176,0,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,2,"",,,"",,,"",,,,,,,,,,,"","",,,"s",0.9379,,"space",0.955,,2,"green_gnome",2,8,"dark_forest","red_basket","red_gnome",2,3,"bright_forest","yellow_basket",8,0,0,1,"green_gnome","dark_forest","red_basket",845,1,2,44,1,177,1,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,2,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.7005,,"space",0.239,,2,"red_gnome",2,4,"bright_forest","yellow_basket","green_gnome",2,8,"dark_forest","red_basket",8,0,0,1,"green_gnome","dark_forest","red_basket",853,0,2,44,2,178,1,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,3,"",,,"",,,"",,,,,,,,,,,"","",,,"k",1.0378,,"space",0.3206,,3,"purple_gnome",3,4,"bright_forest","yellow_basket","yellow_gnome",3,8,"dark_forest","red_basket",8,0,0,1,"yellow_gnome","dark_forest","red_basket",861,-1,1,44,3,179,2,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,2,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.7348,,"space",0.3839,,2,"green_gnome",2,9,"dark_forest","red_basket","red_gnome",2,3,"bright_forest","yellow_basket",3,0,0,1,"red_gnome","bright_forest","yellow_basket",864,-3,0,45,0,180,1,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,4,"",,,"",,,"",,,,,,,,,,,"","",,,"s",1.1039,,"space",0.289,,4,"blue_gnome",4,9,"dark_forest","red_basket","brown_gnome",4,0,"bright_forest","yellow_basket",9,0,0,1,"blue_gnome","dark_forest","red_basket",873,2,0,45,1,181,3,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
"","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","","","",,"","","","","",592074,1,"2024-04-29_18h24.25.962","experiment","2023.2.3","Win32",60.60606061,"5fe247ccdfcbb9dda902109d","662f9812bda856c3f5a2f8eb","662fd7a6ab3af6e5bfa3ae58","",,,"",,,"",,,"",,,"",,,"",,,,,"",,,"",,,,"",,,"","","",,,"","",,,,,"","","",,,,,,,2,"",,,"",,,"",,,,,,,,,,,"","",,,"k",0.9382,,"space",0.261,,2,"red_gnome",2,2,"bright_forest","yellow_basket","green_gnome",2,9,"dark_forest","red_basket",9,0,0,1,"green_gnome","dark_forest","red_basket",882,0,0,45,2,182,1,1,"",,,"",,,"",,,"",,,"",,,,,,,"","",,,"",,,"",,,"",,,,,,,"",,,"","",,,,,,,,"",,,,,,,"",,,"","","",,,,,,,,"",,,,,,,
